,Position,Velocity,Torque,Current
254,2072273.0,339500.0,17.92,5423.0
255,2072616.0,341250.0,16.0,5414.2
256,2072962.0,343750.0,16.32,5401.0
257,2073309.0,345000.0,16.64,5387.8
258,2073655.0,345500.0,16.96,5374.6
259,2073999.0,345750.0,17.92,5364.7
260,2074344.0,345500.0,18.56,5352.6
261,2074687.0,344500.0,17.28,5343.8
262,2075028.0,343250.0,17.28,5336.1
263,2075368.0,342250.0,16.0,5330.6
264,2075707.0,340750.0,16.64,5325.1
265,2076045.0,339500.0,16.96,5321.8
266,2076383.0,338750.0,17.28,5317.4
267,2076721.0,338250.0,17.28,5314.1
268,2077060.0,338250.0,17.6,5308.6
269,2077401.0,339000.0,16.32,5302.0
270,2077740.0,339250.0,15.04,5296.5
271,2078079.0,339500.0,14.72,5292.1
272,2078416.0,339000.0,14.72,5288.8
273,2078748.0,336750.0,14.72,5292.1
274,2079079.0,334750.0,15.04,5295.4
275,2079407.0,332000.0,15.04,5303.1
276,2079733.0,329250.0,16.0,5311.9
277,2080058.0,327500.0,16.0,5322.9
278,2080383.0,326000.0,15.36,5332.8
279,2080708.0,325250.0,15.68,5343.8
280,2081031.0,324500.0,16.0,5355.9
281,2081358.0,325000.0,16.96,5364.7
282,2081683.0,325000.0,16.96,5374.6
283,2082012.0,326000.0,17.28,5381.2
284,2082341.0,327500.0,16.64,5386.7
285,2082673.0,328750.0,16.64,5390.0
286,2083007.0,331000.0,15.68,5390.0
287,2083340.0,332000.0,16.96,5392.2
288,2083675.0,333500.0,17.28,5391.1
289,2084008.0,333750.0,17.6,5393.3
290,2084342.0,333750.0,17.92,5393.3
291,2084674.0,333500.0,17.92,5396.6
292,2085004.0,332250.0,17.6,5401.0
293,2085334.0,331500.0,18.24,5406.5
294,2085661.0,329750.0,17.6,5414.2
295,2085990.0,329000.0,19.84,5420.8
296,2086318.0,328500.0,19.84,5427.4
297,2086646.0,328000.0,20.16,5435.1
298,2086976.0,328750.0,20.48,5439.5
299,2087308.0,329500.0,20.48,5442.8
300,2087644.0,331500.0,18.88,5440.6
301,2087982.0,334000.0,17.92,5437.3
302,2088323.0,336750.0,16.64,5429.6
303,2088667.0,339750.0,16.64,5419.7
304,2089011.0,341750.0,16.32,5408.7
305,2089354.0,343000.0,15.68,5399.9
306,2089698.0,343750.0,15.36,5388.9
307,2090040.0,343250.0,14.72,5381.2
308,2090381.0,342500.0,14.4,5373.5
309,2090722.0,342000.0,14.72,5366.9
310,2091061.0,340750.0,14.72,5361.4
311,2091401.0,340250.0,13.76,5355.9
312,2091740.0,339750.0,14.08,5350.4
313,2092078.0,339000.0,14.08,5347.1
314,2092416.0,338750.0,14.4,5342.7
315,2092756.0,338750.0,15.04,5337.2
316,2093092.0,338000.0,15.04,5335.0
317,2093432.0,338500.0,15.36,5329.5
318,2093772.0,339000.0,15.68,5322.9
319,2094110.0,338500.0,14.72,5319.6
320,2094451.0,339750.0,14.72,5311.9
321,2094790.0,339500.0,15.04,5307.5
322,2095126.0,338500.0,15.68,5305.3
323,2095462.0,338000.0,16.0,5304.2
324,2095795.0,336000.0,17.28,5305.3
325,2096125.0,333750.0,17.6,5310.8
326,2096455.0,332250.0,18.88,5315.2
327,2096780.0,329500.0,19.2,5326.2
